Item,Supplier ,Amount,Price per,Price total,Link
"NEMA 23 Stepper Motors, Drivers, and PSU",Amazon,1,$131.00,$131.00,https://www.amazon.com/RATTMMOTOR-Controller-Nema23-Stepper-Control/dp/B09MRYBNTX/ref=sr_1_5?crid=2MJA1I0FZ63IU&dib=eyJ2IjoiMSJ9.SBay-VDbGWK8WF8kPIhkaJM_K4C0e1BRavLc7Gxe3MPZvidOkGUQppXzL7vbW9i2uyHEdlQSZv1LLL0_rkj8bx-DgKYl1zbgmWZllV7ousln_Q2hJh4X00uJG0_w-fYfTL9ZYwJKMtv_NHQi-xw5MzQsUhjW9xYAEPHigmlflakjDElEe0w8R_IXTaEO_vVojXctB9gW8PmTEhorR5As4ZsAGZYUn2XEF05XIAJPR60.LZ5fweVLTTbE_LQQ421rr9Urt6cUtzYj35xMpOBbeSs&dib_tag=se&keywords=YS+Series+3+Axis+Stepper+CNC+Kit+3.00Nm%28424.83oz.in%29+Nema+23+Stepper+Motor+%26+Driver+%26+48V+Power+Supply&qid=1744087704&sprefix=%2Caps%2C799&sr=8-5
250mm Leadscrew ,Amazon,1,$19.84,$19.84,https://www.amazon.com/Vertical-Printer-Bearing-Flexible-Coupling/dp/B0B8WR5R8W?gQT=1&th=1
600mm LeadScrew,Amazon,2,$38.70,$77.40,https://www.amazon.com/100-600mm-Bearing-Bracket-Flexible-Coupling/dp/B0DMJDKH3Z?gQT=1&th=1
650mm LeadScrew,Amazon,1,$20.99,$20.99,https://www.amazon.com/ReliaBot-650mm-Thread-Starts-Printer/dp/B092W56RC4?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A31QZVWR40HWH8&gQT=1&th=1
Emergency Stop,Amazon,1,$9.99,$9.99,https://www.amazon.com/Baomain-Emergency-Switch-Button-Weatherproof/dp/B00NTT91Y0/ref=sr_1_3?dib=eyJ2IjoiMSJ9.KU17yQ3yLVYbD5Kg-pB8vp-EPEzcLUvzlEHsWjKa5Ot38O3tb7GElQllc4GON9JghafTJEy9W-xiLDIr6yRDsD7shiST7G-FkKOsO8iZepsqU2Y-dgh3fbvyWQ3krH5dPkzes_JjfrJG7vYvOChUR4CzZ31E_4wCgLEb1vH8Pf5KexVtaoHzZ-LYwg17XURrBLZsEC1tkjcQeBSwtWrojkzgZ821ZS55_iRpHKJWdrk.bYmWy7b2jArsGZOW_-LiLYEpxB6u1MI49j9k27Nlx78&dib_tag=se&hvadid=695397056053&hvdev=c&hvexpln=67&hvlocphy=9031293&hvnetw=g&hvocijid=8263446018060723240--&hvqmt=b&hvrand=8263446018060723240&hvtargid=kwd-21508986&hydadcr=8458_13573208&keywords=emergency%2Bstop%2Bswitch&mcid=3dac332068ff3f6486bfa3a198b756de&qid=1744086698&sr=8-3&th=1
HGR20R 600mm,Amazon,2,$50.99,$101.98,https://www.amazon.com/Linear-20-600mm-Bearing-Guideway-Routers/dp/B0BKGB99SD/ref=asc_df_B0BKGB99SD?mcid=074eb939bd153dd6ab2c326f4ba98a65&hvocijid=7473391974608366421-B0BKGB99SD-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=7473391974608366421&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9031293&hvtargid=pla-2281435177378&th=1
Limit Switches,Amazon,1,$6.39,$6.39,https://www.amazon.com/Cylewet-V-156-1C25-Momentary-Arduino-CYT1046/dp/B06WRN7FQB
MGN9 250MM carriage and rails ,Amazon,1,$28.88,$28.88,https://www.amazon.com/gp/product/B09QYMQW5V/ref=ox_sc_act_title_1?smid=A3BJIOXQCA1C52&th=1
Power Step,Amazon,1,$9.99,$9.99,https://www.amazon.com/EPBOWPT-Converter-Regulator-Voltage-Transformer/dp/B0DPZYH3C7?dib=eyJ2IjoiMSJ9.e3w-T7p5oUPhPEfH0AZt_uqM1DhIIMEqC4D-ZZIfEl1aEkvcFGjjhIuz5V_VfrYB5885MNrPwYRZBh2vYVMV4EKjDh1voir5Gb6p1JbaLpiV6rLCehRTDBjj-CVHsQyaxBRQkHq5lI-bsFOIhohE-3LXqv_QnpqIs5eiGHmddK5aLIvnwiTHhI2yh-FCpYVJb8KVbF2p5Uc1tfPWYep-A5x1Kx92eSHV8y-Rpr_PJ8k.r_7IDEv_N_fG7JB-GTuydAouN8IT1W46NVeUChjqVjo&dib_tag=se&keywords=24V%2Bto%2B12V%2BConverter&qid=1745130107&sr=8-3&th=1
"6061 T651 Aluminum Sheet Metal 12 x 12 x 0.20 (5mm) Inch Flat Plain Aluminum Plate Covered with Protective Film, Heat Treatable Rectangle Aluminum Metal Plate for Crafting, DIY, Industrial",Amazon,1,$22.99,$22.99,https://www.amazon.com/Aluminum-Protective-Treatable-Rectangle-Industrial/dp/B09JFN8353/ref=sr_1_3?crid=268WIS118ZFI6&dib=eyJ2IjoiMSJ9.iDT4yyiFnxMVM_ZWH5rcQQo4JpMWP422frwMf4JA08H-avhEEuLSJdgq3zuMy477jO6BXHSDc3M67BH9HWj61fGSmC0-QAP80LOLv64CURffx-mNnC1a98U03O3hzWuzhLnIPZTmJnMuovI6FxVB217Kw2pcwW3fJR5vYkh48Vmit8UcIv812Zuhe5-dJsDV6KzTAOUSwrdu0c_nG6FDDpmtKs-oEPgG144dIDYO0QY.zrsNRMuRmppCj3aFXEi5w18G3rXKvvNJn8GbsyI1F6Y&dib_tag=se&keywords=6061%2Baluminum%2Bplate%2B5mm&qid=1748743218&sprefix=6061%2Baluminum%2Bplate%2B5mm%2Caps%2C152&sr=8-3&th=1
1/4 in shank 1/8 in cutting bit,Amazon,1,$16.99,$16.99,https://www.amazon.com/dp/B0D1DS85TK?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
Extra Stepper motor driver,Amazon,1,$10.89,$10.89,https://www.amazon.com/dp/B08SG7L54W?ref=ppx_yo2ov_dt_b_fed_asin_title
Wago Multipack,Amazon,1,$14.77,$14.77,https://www.amazon.com/dp/B07NKSHVF6?ref=ppx_yo2ov_dt_b_fed_asin_title
16 AWG Wire,Amazon,1,$16.99,$16.99,https://www.amazon.com/dp/B0CMLFRQDQ?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
50mm m4 screws,Amazon,1,$9.38,$9.38,https://www.amazon.com/dp/B089NJRS78?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
